business_name,record_type,record_number,record_status,applicant_address,office_address,mailing_address,initial_filing_date,business_purpose_NAICS_codes,agent_names,registrant_names,registrant_type,registrant_street_address,registrant_mailing_address,name_matches,type_match,status_match,resignation_dateh,agent_street_address,agent_mailing_address
Messier's General Store,Assumed Name,210164,Inactive - Expired,," E RANDOLPH, VT, 5041, USA","PO BOX 240, E RANDOLPH, VT, 05041, USA",2003-10-20,,,"JOEL EDWARD  MESSIER, AMY LYNN  MESSIER",Individual,"None, PO BOX 240, E RANDOLPH, VT, 05041, USA","None, None",,,,,,
"Sunrise General Store, Inc.",Domestic Business Corporation,116656,Dissolved,, None,None,,,,,,,,CURTIS L. BOURDON                                                                                    Agent,Business,Active,None Registered Office (Street,"24 ELM STREET, WOODSTOCK, VT, 05091, USA","24 ELM STREET, WOODSTOCK, VT, 05091, USA"
Dan & Whit's General Store,Assumed Name,275248,Inactive - Expired,," MAIN STREET, NORWICH, VT, 5055, USA","MAIN STREET, NORWICH, VT, 05055, USA",1990-07-12,,,"FRASERS' GENERAL STORE, INC.",Business,"319 MAIN ST, NORWICH, VT, 05055, USA","P.O. Box 157, NORWICH, VT, 05055, USA",,,,,,
Hinesburg General Store,Assumed Name,307124,Inactive - Expired,, None,"14312 Route 116, Hinesburg, VT, 05461, USA",2015-09-09,,,"R & A FROST, INC.",Business,"14312 Rt 116, Hinesburg, VT, 05461, USA","14312 Rt 116, Hinesburg, VT, 05461, USA",,,,,,
"Riverton General Store, Inc.",Domestic Business Corporation,094598,Inactive - Administratively Terminated,," ROUTE 12, RIVERTON, VT, 05668, USA","ROUTE 12, RIVERTON, VT, 05668, USA",,,,,,,,THOMAS F.  KOCH Agent,Individual,Active,None Registered Office (Street,"107 N MAIN ST., BARRE, VT, 05641, USA","107 N MAIN ST., BARRE, VT, 05641, USA"
Eden General Store,Assumed Name,408755,Inactive - Cessated,, None,"PO Box 118, Eden, VT, 05652, USA",2022-05-09,,,"EDEN GENERAL MARKET, LLC",Business,"138 Peninsula Drive, Eden, VT, 05653, USA","PO Box 118, PO Box 118, Eden, VT, 05652, USA",,,,,,
Albany General Store,Assumed Name,186786,Inactive - Expired,," PO BOX 263, ALBANY, VT, 5820, USA","PO BOX 263, ALBANY, VT, 05820, USA",2002-07-12,,,"JOSHUA M  GRONDIN, BRENDA J  GRONDIN",Individual,"None, PO BOX 263, ALBANY, VT, 05820, USA","None, None",,,,,,
Belmont General Store,Assumed Name,188694,Inactive - Expired,," MOUNT HOLLY, VT, USA",None,2011-07-07,,,"HOLLYBROOK MEADOWS, LLC, HOLLYBROOK MEADOWS, LLC",Business,"PO BOX 263, BELMONT, VT, 05730, USA, 4841 VT RTE 155, MOUNT HOLLY, VT, 05758, USA","None, PO Box 263, Belmont, VT, 05730, USA",,,,,,
Stockbridge General Store,Assumed Name,156698,Inactive - Expired,," RTE 100, STOCKBRIDGE, VT, 5772, USA","RTE 100, STOCKBRIDGE, VT, 05772, USA",1979-03-14,,,PACH INC.,Business,"RTE 100, STOCKBRIDGE, VT, 05772, USA","RTE 100, STOCKBRIDGE, VT, 05772, USA",,,,,,
G & L General Store,Assumed Name,418438,Active - Registered,, None,"2594 Young Road, Benson, VT, 05766, USA",2022-11-08,,,John Lendway,Individual,"2594  Young Road, Benson, VT, 05766, USA","2594  Young Road, Benson, VT, 05766 - 0576, USA",,,,,,
Lincoln General Store,Assumed Name,164644,Inactive - Expired,," RD 1 BOX 1815, BRISTOL, VT, 5443, USA","RD 1 BOX 1815, BRISTOL, VT, 05443, USA",1991-10-28,,,"STEARNS ENTERPRISES, INC.",Business,"17 EAST RIVER ROAD, LINCOLN, VT, 05443, USA","17 EAST RIVER ROAD, LINCOLN, VT, 05443, USA",,,,,,
"Grandy's General Store, Inc.",Domestic Business Corporation,124608,Inactive - Administratively Terminated,," SAME AS ABOVE, -NONE ON FILE-, USA","SAME AS ABOVE, -NONE ON FILE-",,,,,,,,MICHELLE E.  GRANDY Agent,Individual,Active,None Registered Office (Street,"13 OLD MILL ROAD, ARLINGTON, VT, 05250, USA","13 OLD MILL ROAD, ARLINGTON, VT, 05250, USA"
Green Mountain General Store And Restaurant,Assumed Name,264508,Inactive - Expired,," ROUTE 302, GROTON, VT, 5046, USA","ROUTE 302, GROTON, VT, 05046, USA",1989-07-28,,,"EDWARD R.  GREEN,",Individual,"BOX 46, GROTON, VT, 05046, USA",None,,,,,,
"Orleans General Store, Inc.",Domestic Business Corporation,126239,Inactive - Administratively Terminated,," 72 MAIN STREET, ORLEANS, VT, 05860, USA","72 MAIN STREET, ORLEANS, VT, 05860, USA",,,,,,,,MARY BLAIS Agent,Individual,Active,None Registered Office (Street,"524 SUNSET ACRES, NEWPORT, VT, 05855, USA","524 SUNSET ACRES, NEWPORT, VT, 05855, USA"
Tyson General Store,Assumed Name,195090,Inactive - Expired,," LUDLOW, VT, USA","RTE 100, LUDLOW, VT, 05159, USA",1983-06-09,,,MAURICE GILCHRIST,Individual,"RTE 100, LUDLOW, VT, 05159, USA",None,,,,,,
"General Store Of East Calais, The",Assumed Name,252136,Inactive - Expired,," E CALAIS, VT, USA","PO BOX 120, E CALAIS, VT, 05650, USA",1998-02-19,,,"CHALICE COMMUNITY VENTURE, INC.",Business,"4520 VT RT 14 PO BOX 120, EAST CALAIS, VT, 05650, USA","4520 VT RT 14 PO BOX 120, EAST CALAIS, VT, 05650, USA",,,,,,
Halifax General Store,Assumed Name,170721,Inactive - Expired,," BRANCH RD., W. HALIFAX, VT, 5358, USA","BRANCH RD., W. HALIFAX, VT, 05358, USA",1992-04-08,,,PATRICIA J.  GOUIN,Individual,"BRANCH RD., W. HALIFAX, VT, 05358, USA",None,,,,,,
Underhill General Store,Assumed Name,202211,Inactive - Expired,," UNDERHILL CTR., VT, 5490, USA",None,1984-02-27,,,"WILLIAM N.  CADMUS, MARCIA G.  CADMUS",Individual,"38 W OAK HILL RD., WILLISTON, VT, 05495, USA, SAME, USA","None, None",,,,,,
Belmont General Store,Assumed Name,428131,Active - Registered,, None,"PO Box 22, Belmont, VT, 05730, USA",2023-05-10,,,"TILLYS MARKET, LLC",Business,"2400 Belmont Road, Belmont, VT, 05730, USA","PO Box 22, Belmont, VT, 05730, USA",,,,,,
Kilgore's General Store,Assumed Name,210893,Inactive - Expired,," MONTGOMERY CTR, VT, 5471, USA","PO BOX 420, MONTGOMERY CTR, VT, 05471, USA",2003-11-06,,,"EMSQUARE, INC.",Business,"172 CHESTNUT STREET, LYNNFIELD, MA, 01940, USA","172 CHESTNUT STREET, LYNNFIELD, MA, 01940, USA",,,,,,
Little Otter General Store,Assumed Name,225284,Inactive - Expired,," ROUTE 7, FERRISBURGH, VT, 5456, USA","ROUTE 7, FERRISBURGH, VT, 05456, USA",1986-04-08,,,"DONALD T.  MYERS, MARGIE MYERS",Individual,"MIDDLEBROOK ROAD, FERRISBURGH, VT, 05456, USA, SAME, USA","None, None",,,,,,
Desso's General Store,Assumed Name,269537,Inactive - Expired,," BROWN TRACE ROAD, JERICHO CTR., VT, 5465, USA","BROWN TRACE ROAD, JERICHO CTR., VT, 05465, USA",1990-01-26,,,"GERALD F.  DESSO, LILLIAN D.  DESSO",Individual,"BROWN TRACE ROAD, JERICHO CENTER, VT, 05465, USA, SAME, USA","None, None",,,,,,
Chester General Store,Assumed Name,259559,Inactive - Expired,," ROUTE 103, CHESTER, VT, 5143, USA","ROUTE 103, CHESTER, VT, 05143, USA",1989-03-15,,,"GEORGE A.  SILVIA,, SHARON A.  SILVIA",Individual,"PO BOX 973, CHESTER, VT, 05143, USA, SAME, USA","None, None",,,,,,
Russin General Store LLC,Domestic Limited Liability Company,446349,Active - In Good StandingDesignated Office,,,"(Optional) 187 High Meadow Rd, East Fairfield, VT, 05448 - 4428, USA",,,,,,,,,,,,,
Putney General Store,Assumed Name,192473,Inactive - Expired,," PUTNEY, VT, USA","4 KIMBALL HILL RD, PUTNEY, VT, 05346, USA",2011-10-06,,,"D AND J MARKET, INC., D AND J MARKET, INCORPORATED",Business,"4 KIMBALL HILL RD, PUTNEY, VT, 05346, USA, 4 KIMBALL HILL ROAD, PUTNEY, VT, 05346, USA","None, 50 OLD LEOMINSTER ROAD, PO BOX 101, STERLING, MA, 01564, USA",,,,,,
Orleans General Store,Assumed Name,174661,Inactive - Expired,," ORLEANS, VT, USA",None,2001-10-22,,,"JOANNE ROOT, MICHAEL ROOT",Individual,"None, 2687 BURTON HILL RD, BARTON, VT, 05822, USA","None, None",,,,,,
Teago General Store,Assumed Name,246355,Inactive - Expired,," STAGE ROAD, S. POMFRET, VT, 5067, USA","STAGE ROAD, S. POMFRET, VT, 05067, USA",1988-02-19,,,"STAGE ROAD ENTERPRISES, INC., STAGE RD ENTERPRISES",Business,"2035 POMFRET RD/POB 127, SO POMFRET, VT, 05067, USA, PO BOX 127, SOUTH POMFRET, VT, 05067, USA","2035 POMFRET RD, SO POMFRET, VT, 05067, USA, None",,,,,,
Harbor View General Store,Assumed Name,327812,Inactive - Cessated,, None,"PO Box 84, Hydeville, VT, 05750, USA",2017-02-23,,,"MOBELL, LLC",Business,"33 CREEK STREET, HYDEVILLE, VT, 05750, USA","PO BOX 84, HYDEVILLE, VT, 05750, USA",,,,,,
Mad River General Store,Assumed Name,205729,Inactive - Expired,," WAITSFIELD, VT, 5673, USA","164 WHITE PINE DR, WAITSFIELD, VT, 05673, USA",2003-07-25,,,JAMES G  BOYLAN,Individual,"164 WHITE PINE DR, WAITSFIELD, VT, 05673, USA",None,,,,,,
Barnard General Store,Assumed Name,235737,Inactive - Expired,," ROUTE 12/STAGE RD, BARNARD, VT, 5031, USA","ROUTE 12/STAGE RD, BARNARD, VT, 05031, USA",1987-03-19,,,VIRGINIA GREEN MANAGEMENT CORPORATION,Business,None,None,,,,,,
Coon's General Store,Assumed Name,157269,Inactive - Expired,," RTE 4A & RTE 30, CASTLETON, VT, 5732, USA","RTE 4A & RTE 30, CASTLETON, VT, 05732, USA",1979-07-09,,,DAVID MURRAY,Individual,"RTE 4A, CASTLETON, VT, 05732, USA",None,,,,,,
"Woodford Mtn General Store, Inc.",Domestic Business Corporation,129174,Dissolved,," 5053 ROUTE 9, WOODFORD, VT, 05201, USA","5053 ROUTE 9, 515 Quarry Rd, WOODFORD, VT, 05201, USA",,,,,,,,CHRISTOPHER S  ROSSO Agent,Individual,Active,None Registered Office (Street,"515 QUARRY RD, BENNINGTON, VT, 05201, USA","515 QUARRY RD, BENNINGTON, VT, 05201, USA"
"Cones Point General Store, Inc",Domestic Business Corporation,316614,Dissolved,," 3816 VT Route 30 S, Poultney, VT, 05764, USA","3816 VT Route 30 S, Poultney, VT, 05764, USA",,,,,,,,JOSEPH A  DEBONIS Esq Agent,Individual,Active,None Registered Office (Street,"226 Main Street, Poultney, VT, 05764, USA","226 Main Street, Poultney, VT, 05764, USA"
Fairlee General Store,Assumed Name,200610,Inactive - Expired,," FAIRLEE, VT, USA","50 MAIN ST., FAIRLEE, VT, 05045, USA",1994-03-15,,,"MCLURE FAMILY ENTERPRISES, INC.",Business,"50 MAIN STREET, FAIRLEE, VT, 05045, USA","50 MAIN STREET, FAIRLEE, VT, 05045, USA",,,,,,
Moscow General Store,Assumed Name,233076,Inactive - Expired,," STOWE, VT, USA",None,1996-07-01,,,"MOSCOW MILLS, INCORPORATED",Business,"435 MOSCOW RD., STOWE, VT, 05672, USA","P.O. BOX 1076, STOWE, VT, 05672, USA",,,,,,
Mahoney's General Store,Assumed Name,218703,Inactive - Expired,," ISLAND POND, VT, USA","POB 250, ISLAND POND, VT, 05846, USA",1995-05-22,,,"MICHAEL MAHONEY, ROLINDA MAHONEY",Individual,"POB 250, ISLAND POND, VT, 05846, USA, SAME, USA","None, None",,,,,,
"General Store Twenty-Four Seven, LLC",Domestic Limited Liability Company,035191,Inactive - Administratively TerminatedDesignated Office,,,"(Optional) 11 ON THE GREEN,POBOX647, EAST POULTNEY, VT, 05741, USA",,,,,,,,,,,,,
"Bradley's General Store, Inc.",Domestic Business Corporation,109727,Inactive - Administratively Terminated,," 25 VT RTE 15W, JOHNSON, VT, 05656, USA","25 VT RTE 15W, JOHNSON, VT, 05656, USA",,,,,,,,"KEITH A.  BRADLEY, Jr. Agent",Individual,Active,None Registered Office (Street,"25 VT RTE 15W, JOHNSON, VT, 05656, USA","25 VT RTE 15W, JOHNSON, VT, 05656, USA"
"Fletcher General Store, LLC",Domestic Limited Liability Company,019246,TerminatedDesignated Office,,,"(Optional) 1619 East Peacham Road, 1619 East Peacham Road, Peacham, VT, 05862, USA",,,,,,,,,,,,,
Ar Eden General Store Corp.,Domestic Business Corporation,487013,Active - In Good Standing,," 2918 VERMONT RT 100, EDEN, VT, 05652, USA","10 WHITTIER DRIVE, BOW, NH, 03304, USA",,,,,,,,ANKIT PATEL Agent,Individual,Active,None Registered Office (Street,"7788 VT-113, POSTMILLS, VT, 05058, USA","7788 VT-113, POSTMILLS, VT, 05058, USA"
Passumpsic General Store,Assumed Name,275486,Inactive - Expired,," 32 BRIDGE, PASSUPSIC, VT, 5861, USA","32 BRIDGE, PASSUPSIC, VT, 05861, USA",2000-01-26,,,"TINA HAHR, CHRISTOPHER HAHR",Individual,"None, 32 BRIDGE, PASSUPSIC, VT, 05861, USA","None, None",,,,,,
Hinesburg General Store,Assumed Name,208303,Inactive - Expired,," HINESBURG, VT, 5461, USA","PO BOX 510, HINESBURG, VT, 05461, USA",2003-09-02,,,"R & A FROST, INC.",Business,"14312 Rt 116, Hinesburg, VT, 05461, USA","14312 Rt 116, Hinesburg, VT, 05461, USA",,,,,,
Green Mountain General Store And Restaurant,Assumed Name,221661,Inactive - Expired,," ROUTE 302, GROTON, VT, 5046, USA","ROUTE 302, GROTON, VT, 05046, USA",1985-11-20,,,"EDWARD R.  GREEN,, STACIA M.  HAGGETT",Individual,"BOX 46, GROTON, VT, 05046, USA, SAME, USA","None, None",,,,,,
"Woodford General Store, LLC",Domestic Limited Liability Company,363511,Active - In Good StandingDesignated Office,,,"(Optional) 5053 VT Route 9, Woodford, VT, 05201, USA",,,,,,,,,,,,,
Ken's General Store,Assumed Name,267491,Inactive - Expired,," HCR 64 BOX 65, NO TUNBRIDGE, VT, 5077, USA","HCR 64 BOX 65, NO TUNBRIDGE, VT, 05077, USA",1999-05-28,,,"PATRICIA E.  MENEI, JOSEPH MENEI",Individual,"None, HCR 64 BOX 65, NO TUNBRIDGE, VT, 05077, USA","None, None",,,,,,
Granville General Store,Assumed Name,320654,Inactive - Cessated,, None,"5358 VT Route 100, Granville, VT, 05747, USA",2016-07-11,,,"SARGEANT ENTERPRISES, INC.",Business,"5358 VT ROUTE 100, GRANVILLE, VT, 05747, USA","5358 VT ROUTE 100, GRANVILLE, VT, 05747, USA",,,,,,
Vermont General Store And Grist Mill,Assumed Name,180947,Inactive - Expired,," POMFRET ROAD, WOODSTOCK, VT, 5091, USA","POMFRET ROAD, WOODSTOCK, VT, 05091, USA",1981-09-15,,,"K. WILLIAM  CLAUSON, JANET ST.  PIERRE, BETTY ANDERSON",Individual,"None, ONE BUCK RD, HANOVER, NH, 03755, USA, POMFRET ROAD, WOODSTOCK, VT, 05091, USA","None, None, None",,,,,,
"West Burke General Store, Inc.",Domestic Business Corporation,066907,Dissolved,," WEST BURKE, VT, 05871, USA",None,,,,,,,,JOHN PERRY Agent,Individual,Active,None Registered Office (Street,"WEST BURKE, VT, 05871, USA",None
Moose Hollow General Store,Assumed Name,234413,Inactive - Expired,," E. ARLINGTON, VT, 5250, USA",None,1996-08-09,,,"HOLLOW INDUSTRIES, INC.",Business,"OLD MILL RD PO BOX 250, E ARLINGTON, VT, 05252, USA","OLD MILL RD PO BOX 250, E ARLINGTON, VT, 05252, USA",,,,,,
Onley's General Store,Assumed Name,457996,Active - Registered,, None,"10 WHITTIER DRIVE, BOW, NH, 03304, USA",2024-11-19,,,AR ORLEANS STORE CORP,Business,"72 MAIN STREET, ORLEANS, VT, 05860, USA","10 WHITTIER DRIVE, BOW, NH, 03304, USA",,,,,,
Jj Hapgood General Store And Eatery,Assumed Name,289149,Inactive - Cessated,, None,"305 MAIN, PO BOX 37, PERU, VT, 05152, USA",2014-02-19,,,"JJ HAPGOOD GENERAL STORE, LLC",Business,"305 MAIN STREET, PERU, VT, 05152, USA","53 Falls Road, PO Box 335, SHELBURNE, VT, 05482, USA",,,,,,
"Amateur Radio General Store, The",Assumed Name,182360,Inactive - Expired,," MORRISVILLE, VT, USA",None,1993-01-26,,,ALLEN R.  GODIN,Individual,"RR 2, BOX 6940, MORRISVILLE, VT, 05661, USA",None,,,,,,
Eden General Store,Assumed Name,491700,Active - Registered,," 2918 Vermont Rt. 100, Eden, VT, 05652, USA","2918 Vermont Rt. 100, Eden, VT, 05652, USA",2026-05-20,,,Ankit Patel,Individual,"2918 Vermont Rt. 100, Eden, VT, 05652, USA","2918 Vermont Rt. 100, Eden, VT, 05652, USA",,,,,,
Perkins General Store,Assumed Name,170884,Inactive - Expired,," MAIN STREET, ST. JOHNSBURY, VT, 5819, USA","MAIN STREET, ST. JOHNSBURY, VT, 05819, USA",1980-04-17,,,WILLIAM PERKINS,Individual,"39 CALISTA AVE, LYNDONVILLE, VT, 05851, USA",None,,,,,,
"Olson's General Store, LLC",Domestic Limited Liability Company,025241,Inactive - Administratively TerminatedDesignated Office,,,"(Optional) 331 Route 100 N, LUDLOW, VT, 05149, USA",,,,,,,,,,,,,
"Beauregard's General Store, Inc.",Domestic Business Corporation,124786,Inactive - Administratively Terminated,, None,None,,,,,,,,TINA BEAUREGARD Agent,Individual,Active,None Registered Office (Street,"67 KING RD, RICHFORD, VT, 05476, USA","67 KING RD, RICHFORD, VT, 05476, USA"
Perkinsville General Store,Assumed Name,174847,Inactive - Expired,," ROUTE 106, PERKINSVILLE, VT, 5151, USA","ROUTE 106, PERKINSVILLE, VT, 05151, USA",1992-07-13,,,"VERMONT CATALOGUE, LTD., THE",Business,None,None,,,,,,
East Middlebury General Store,Assumed Name,150198,Inactive - Expired,," ROUTE 125, E. MIDDLEBURY, VT, 5740, USA","ROUTE 125, E. MIDDLEBURY, VT, 05740, USA",2000-04-11,,,"DEIDRE STILES, DENNIS STILES",Individual,"None, PO BOX 488, E. MIDDLEBURY, VT, 05740, USA","None, None",,,,,,
Albany General Store,Assumed Name,387814,Inactive - Expired,, None,"118 S. Craftsbury Rd, Craftsbury, VT, 05826, USA",2021-04-19,,,"THREE LADIES, LLC",Business,"842 Main Street, Albany, VT, 05820, USA","118 S. Craftsbury Rd, 118 S. Craftsbury Rd, Craftsbury, VT, 05826, USA",,,,,,
Dan & Whit's General Store,Assumed Name,308762,Inactive - Expired,, None,"2325 Old River Rd., White River Junction, VT, 05001, USA",2015-10-30,,,Bill McFadden,Individual,"2325 Old River Rd., White River Junction, VT, 05001, USA",None,,,,,,
Brownsville General Store & Queens Cafe,Assumed Name,297502,Inactive - Cessated,, None,"PO BOX 13, BROWNSVILLE, VT, 05037, USA",2014-12-01,,,"BGS & QUEEN'S CAFE, LLC",Business,"871 US Route 44, Brownsville, VT, 05037, USA","959 Woodstock Road, White River Jct., VT, 05001, USA",,,,,,
Martin's General Store,Assumed Name,165680,Inactive - Expired,," HIGHGATE SPRGS, VT, 5460, USA","GENERAL DELIVERY, HIGHGATE SPRGS, VT, 05488, USA",1991-11-22,,,"GILBERT H.  GAGNER, LISA A.  LAROCHE",Individual,"GENERAL DELIVERY, HIGHGATE SPRGS, VT, 05488, USA, RD 2 BOX 196B, SWANTON, VT, 05488, USA","None, None",,,,,,
Dollar General Stores,Assumed Name,237446,Inactive - Expired,," 100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072, USA","100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072, USA",2005-10-24,,,"DG RETAIL, LLC, DG RETAIL, LLC",Business,"100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072, USA, 100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072, USA","100 MISSION RIDGE, GOODLETTSVILLE, TN, 37072, USA, None",,,,,,
Bassett General Store,Assumed Name,194927,Inactive - Expired,," MT HOLLY, VT, 5730, USA","1781 VT RTE 103 S, MT HOLLY, VT, 05730, USA",2003-01-13,,,"BASSETT SPORT & POWER, LLC",Business,"1781 VT RTE 103 SOUTH, MOUNT HOLLY, VT, 05730, USA","1781 VT RTE 103 SOUTH, MOUNT HOLLY, VT, 05730, USA",,,,,,
Bowman's General Store,Assumed Name,250283,Inactive - Expired,," BRIGHTON, VT, USA",None,1997-12-29,,,"SCOTT BOWMAN, NANCY BOWMAN",Individual,"None, RR 1 BOX 335, ISLAND POND, VT, 05846, USA","None, None",,,,,,
Albany General Store,Assumed Name,170333,Inactive - Expired,," ALBANY, VT, USA","PO BOX 282, ALBANY, VT, 05820, USA",2001-07-09,,,"JENNIFER TOLLMANN, CHAD TOLLMANN",Individual,"None, PO BOX 282, ALBANY, VT, 05820, USA","None, None",,,,,,
Walden General Store,Assumed Name,266820,Inactive - Expired,," ROUTE 15, WALDEN, VT, USA","ROUTE 15, WALDEN, VT, USA",1989-10-13,,,REBECCA BEAUPRE',Individual,"PO BOX 26, GREENSBORO BND, VT, 05842, USA",None,,,,,,
"General Store Of Barton, The",Assumed Name,222210,Inactive - Expired,," 215 MAIN ST., BARTON, VT, 5822, USA","215 MAIN ST., BARTON, VT, 05822, USA",1985-12-19,,,"FOUR-K, INC.",Business,"215 MAIN ST., BARTON, VT, 05822, USA","215 MAIN ST., BARTON, VT, 05822, USA",,,,,,
Bomoseen Harbor General Store,Assumed Name,154354,Inactive - Expired,," CREEK ROAD, HYDEVILLE, VT, 5750, USA","CREEK ROAD, HYDEVILLE, VT, 05750, USA",1989-04-07,,,"BIG R, INC.",Business,"BOMOSEEN HARBOR GEN.STOR, HYDEVILLE, VT, 05750, USA","BOMOSEEN HARBOR GEN.STOR, HYDEVILLE, VT, 05750, USA",,,,,,
True's General Store,Assumed Name,159217,Inactive - Expired,," RTE HCR 65 BOX 830A, WOODFORD, VT, 5201, USA","RTE HCR 65 BOX 830A, WOODFORD, VT, 05201, USA",1991-06-03,,,"P. DEAN  TRUE, KATHRYN TRUE",Individual,"None, 225 WOODFORD CITY RD, WOODFORD, VT, 05201, USA","None, None",,,,,,
