business_names,town_name_normalized,"lat, lng",lat,lng
"['BARNARD GENERAL STORE, LLC', 'BARNARD GENERAL STORE', 'BARNARD GENERAL STORE', 'BARNARD GENERAL STORE', 'BARNARD GENERAL STORE', 'BARNARD GENERAL STORE', 'BARNARD GENERAL STORE']","BARNARD, VT","(43.728679, -72.6189876)",43.728679,-72.6189876
"['BARNES CAMP COUNTRY STORE', 'BARNES CAMP COUNTRY STORE']","STOWE, VT","(44.4654332, -72.6874023)",44.4654332,-72.6874023
"['THE BARTON VILLAGE CORNER STORE', 'BARTON VILLAGE CORNER STORE THE', 'BARTON VILLAGE CORNER STORE, THE']","BARTON, VT","(44.7480805, -72.17625799999999)",44.7480805,-72.17625799999999
['BAYLEY HAZEN COUNTRY STORE'],"PEACHAM, VT","(44.3286166, -72.1704048)",44.3286166,-72.1704048
"['BAYLEY-HAZEN COUNTRY STORE', 'BAYLEY-HAZEN COUNTRY STORE']","PEACHAM, VT","(44.3286166, -72.1704048)",44.3286166,-72.1704048
"['BELMONT GENERAL STORE THE', 'BELMONT GENERAL STORE', 'BELMONT GENERAL STORE', 'BELMONT GENERAL STORE']","BELMONT, VT","(43.4148462, -72.82115499999999)",43.4148462,-72.82115499999999
"[""BENNETT'S CAVENDISH GENERAL STORE""]","CAVENDISH, VT","(43.4145061, -72.5914616)",43.4145061,-72.5914616
"['BENSON GENERAL STORE, INC.', 'BENSON GENERAL STORE INC']","BENSON, VT","(43.7066513, -73.3105386)",43.7066513,-73.3105386
"['BENSON VILLAGE STORE, LLC', 'BENSON VILLAGE STORE', 'BENSON VILLAGE STORE', 'BENSON VILLAGE STORE', 'BENSON VILLAGE STORE', 'BENSON VILLAGE STORE', 'BENSON VILLAGE STORE', 'BENSON VILLAGE STORE']","BENSON, VT","(43.7066513, -73.3105386)",43.7066513,-73.3105386
"[""BILL'S COUNTRY STORE""]","KILLINGTON, VT","(43.6775677, -72.77982469999999)",43.6775677,-72.77982469999999
['BLEMONT GENERAL STORE THE'],"LUDLOW, VT","(43.3960723, -72.7010471)",43.3960723,-72.7010471
"['THE BOLTON COUNTRY STORE LLC', 'BOLTON STORE']","BOLTON, VT","(44.3726476, -72.87876250000001)",44.3726476,-72.87876250000001
"[""BOWMAN'S GENERAL STORE""]","BRIGHTON, VT","(44.805719, -71.85484199999999)",44.805719,-71.85484199999999
"['BRADFORD VILLAGE STORE, INC.']","WHITRIVER JC, VT","(43.6489596, -72.3192579)",43.6489596,-72.3192579
"[""BRADLEY'S GENERAL STORE, INC."", ""BRADLEY'S GENERAL STORE"", ""BRADLEY'S GENERAL STORE""]","JOHNSON, VT","(44.6356063, -72.6803979)",44.6356063,-72.6803979
['BRIDGEWATER CORNERS COUNTRY STORE'],"BRIDGEWATER, VT","(43.58812500000001, -72.6250967)",43.58812500000001,-72.6250967
"['BROOKFIELD VALLEY STORE, LLC', 'BROOKFIELD VALLEY STORE', 'BROOKFIELD VALLEY STORE', 'BROOKFIELD VALLEY STORE']","BROOKFIELD, VT","(44.0422861, -72.6034385)",44.0422861,-72.6034385
['BROOKSIDE COUNTRY STORE'],"BARRE, VT","(44.1966858, -72.5013944)",44.1966858,-72.5013944
"[""BROWN'S GENERAL STORE""]","WHITINGHAM, VT","(42.7893317, -72.8846045)",42.7893317,-72.8846045
['BROWNSVILLE GENERAL STORE'],"BROWNSVILLE, VT","(43.46513909999999, -72.474632)",43.46513909999999,-72.474632
"[""BUDZYN'S COUNTRY STORE""]","RANDOLPH, VT","(43.9247446, -72.6656948)",43.9247446,-72.6656948
"['BURNHAM HOLLOW COUNTRY STORE', 'BURNHAM HOLLOW COUNTRY STORE']","MENDON, VT","(43.6512236, -72.9274381)",43.6512236,-72.9274381
"['CABOT VILLAGE STORE, INC.', 'CABOT VILLAGE STORE', 'CABOT VILLAGE STORE']","CABOT, VT","(44.4013947, -72.3123023)",44.4013947,-72.3123023
"['CALAIS STAGE COUNTRY STORE, INC.']","MONTPELIER, VT","(44.26005929999999, -72.5753869)",44.26005929999999,-72.5753869
"[""CARPENTER'S COUNTRY STORE""]","CHESTER, VT","(43.2628476, -72.5951082)",43.2628476,-72.5951082
"[""CASELLA'S COUNTRY STORE AND DELI""]","WALLINGFORD, VT","(43.4717467, -72.9773692)",43.4717467,-72.9773692
"['CASTLETON CORNERS CONVENIENCE STORE', 'CASTLETON CORNERS CONVENIENCE STORE']","RUTLAND, VT","(43.6106237, -72.9726065)",43.6106237,-72.9726065
"['CASTLETON VILLAGE STORE, INC.']","CASTLETON, VT","(43.608439, -73.2084496)",43.608439,-73.2084496
['CHARLOTTE COUNTRY STORE INCORPORATED'],"CHARLOTTE, VT","(44.3109602, -73.25029049999999)",44.3109602,-73.25029049999999
"['CHELSEA COUNTRY STORE INC', 'CHELSEA COUNTRY STORE, INC.', 'CHELSEA COUNTRY STORE']","CHELSEA, VT","(43.989788, -72.4475994)",43.989788,-72.4475994
"['CHESTER GENERAL STORE', 'CHESTER GENERAL STORE', 'CHESTER GENERAL STORE']","CHESTER, VT","(43.2628476, -72.5951082)",43.2628476,-72.5951082
"['CHIPPENHOOK GENERAL STORE', 'CHIPPENHOOK GENERAL STORE']","ARLINGTON, VT","(43.0747858, -73.1539734)",43.0747858,-73.1539734
"[""CINDEE'S COUNTRY STORE""]","Saint JOHNSBURY, VT","(44.4192627, -72.0151183)",44.4192627,-72.0151183
"[""CLUTE'S LAKE EDEN COUNTRY STORE""]","EDEMILLS, VT","(44.5588028, -72.57784149999999)",44.5588028,-72.57784149999999
"[""COBURNS' GENERAL STORE, INC.""]","STRAFFORD, VT","(43.86645679999999, -72.37787279999999)",43.86645679999999,-72.37787279999999
"['CONCORD COUNTRY STORE', 'CONCORD COUNTRY STORE', 'CONCORD COUNTRY STORE']","CONCORD, VT","(44.42881029999999, -71.8887045)",44.42881029999999,-71.8887045
"[""COON'S GENERAL STORE""]","BOMOSEEN, VT","(43.643742, -73.19897019999999)",43.643742,-73.19897019999999
"[""COON'S GENERAL STORE"", ""COON'S COUNTRY STORE"", ""COON'S COUNTRY STORE"", ""COON'S COUNTRY STORE""]","CASTLETON, VT","(43.608439, -73.2084496)",43.608439,-73.2084496
"['CORNWALL COUNTRY STORE', 'CORNWALL COUNTRY STORE']","CORNWALL, VT","(43.960893, -73.2103951)",43.960893,-73.2103951
"['CRAFTSBURY CORNER STORE', 'CRAFTSBURY CORNER STORE', 'CRAFTSBURY CORNER STORE']","CRAFTSBURY, VT","(44.6367179, -72.3726071)",44.6367179,-72.3726071
"['CRAFTSBURY GENERAL STORE', 'CRAFTSBURY COUNTRY STORE', 'CRAFTSBURY GENERAL STORE', 'CRAFTSBURY GENERAL STORE']","CRAFTSBURY, VT","(44.6367179, -72.3726071)",44.6367179,-72.3726071
"['CREAMERY COUNTRY STORE', 'CREAMERY COUNTRY STORE']","MONTPELIER, VT","(44.26005929999999, -72.5753869)",44.26005929999999,-72.5753869
['D & R GENERAL STORE'],"CAMBRIDGEPORT, VT","(43.1506272, -72.55819269999999)",43.1506272,-72.55819269999999
"[""DAN & WHIT'S GENERAL STORE"", ""DAN & WHIT'S GENERAL STORE"", ""DAN & WHIT'S GENERAL STORE""]","NORWICH, VT","(43.7153482, -72.307869)",43.7153482,-72.307869
"['DANBY FOUR CORNERS STORE', 'DANBY FOUR CORNERS STORE', 'DANBY FOUR CORNERS STORE']","DANBY, VT","(43.3548341, -73.0475498)",43.3548341,-73.0475498
"['DANVILLE GENERAL STORE', 'DANVILLE GENERAL STORE', 'DANVILLE GENERAL STORE']","DANVILLE, VT","(44.4114862, -72.1400902)",44.4114862,-72.1400902
['DERBY ROAD OUTLET STORE'],"DERBY, VT","(44.9544359, -72.1304059)",44.9544359,-72.1304059
['DERBY VILLAGE STORE'],"DERBY, VT","(44.9544359, -72.1304059)",44.9544359,-72.1304059
"[""DEREK'S COUNTRY STORE"", ""DEREK'S COUNTRY STORE""]","CABOT, VT","(44.4013947, -72.3123023)",44.4013947,-72.3123023
['DERRY VILLAGE ANTIQUES & COUNTRY STORE'],"LONDONDERRY, VT","(43.2264643, -72.8064866)",43.2264643,-72.8064866
"[""DESSO'S GENERAL STORE""]","JERICHO, VT","(44.5041705, -72.9978292)",44.5041705,-72.9978292
"['DICK MAZZA GENERAL STORE, INC.']","COLCHESTER, VT","(44.5516209, -73.1636932)",44.5516209,-73.1636932
['DON & JEAN COUNTRY STORE'],"POWNAL, VT","(42.792313, -73.22694609999999)",42.792313,-73.22694609999999
"['DORSET COUNTRY STORE, THE']","RUTLAND, VT","(43.6106237, -72.9726065)",43.6106237,-72.9726065
['DR COUNTRY STORE CATALOG'],"CHARLOTTE, VT","(44.3109602, -73.25029049999999)",44.3109602,-73.25029049999999
['DUXBURY COUNTRY STORE'],"DUXBURY, VT","(44.3270012, -72.7526175)",44.3270012,-72.7526175
['E & V COUNTRY STORE'],"NEWARK, VT","(44.7019193, -71.9227434)",44.7019193,-71.9227434
['EAGLE ROCK COUNTRY STORE'],"HUBBARDTON, VT","(43.71707019999999, -73.158693)",43.71707019999999,-73.158693
"['EAST CHARLESTON COUNTRY STORE', 'EAST CHARLESTON COUNTRY STORE']","CHARLESTON, VT","(44.8443616, -72.0330896)",44.8443616,-72.0330896
"['EAST CORINTH GENERAL STORE, INC.', 'EAST CORINTH GENERAL STORE', 'EAST CORINTH GENERAL STORE']","CORINTH, VT","(44.0327566, -72.26571)",44.0327566,-72.26571
['EAST DORSET GENERAL STORE'],"DORSET, VT","(43.2548074, -73.0987801)",43.2548074,-73.0987801
['EAST MIDDLEBURY GENERAL STORE'],"MIDDLEBURY, VT","(44.0151433, -73.16695539999999)",44.0151433,-73.16695539999999
"['EAST POULTNEY GENERAL STORE', 'EAST POULTNEY GENERAL STORE', 'EAST POULTNEY GENERAL STORE', 'EAST POULTNEY GENERAL STORE']","POULTNEY, VT","(43.5170325, -73.2362261)",43.5170325,-73.2362261
"['EDELWEISS COUNTRY STORE, INC.', 'EDELWEISS COUNTRY STORE', 'EDELWEISS COUNTRY STORE']","STOWE, VT","(44.4654332, -72.6874023)",44.4654332,-72.6874023
"['EDEN GENERAL STORE', 'EDEN GENERAL STORE', 'EDEN GENERAL STORE']","EDEN, VT","(44.7072718, -72.5456691)",44.7072718,-72.5456691
"['ELMORE STORE, THE', 'THE ELMORE STORE']","LAKELMORE, VT","(44.5412887, -72.52312239999999)",44.5412887,-72.52312239999999
['ESDEN FLORIST AND COUNTRY STORE'],"FAIRFIELD, VT","(44.8019921, -72.9456936)",44.8019921,-72.9456936
['ESSEX ARMY/NAVY STORE'],"ESSEX, VT","(44.5101525, -73.0834648)",44.5101525,-73.0834648
['FAIRFIELD COUNTRY STORE'],"FAIRFIELD, VT","(44.8019921, -72.9456936)",44.8019921,-72.9456936
"['FAIRLEE GENERAL STORE', 'FAIRLEE GENERAL STORE']","FAIRLEE, VT","(43.9053567, -72.1518675)",43.9053567,-72.1518675
['FALLS GENERAL STORE AND DELI'],"NORTHFIELD FLS, VT","(44.148452, -72.6562758)",44.148452,-72.6562758
['FISHER BRIDGE COUNTRY STORE'],"MORRISVILLE, VT","(44.5617189, -72.5984486)",44.5617189,-72.5984486
"['FLETCHER GENERAL STORE', 'FLETCHER GENERAL STORE', 'FLETCHER GENERAL STORE', 'FLETCHER GENERAL STORE ']","FLETCHER, VT","(44.6752213, -72.9238412)",44.6752213,-72.9238412
"['FOREST COUNTRY STORE, THE']","GROTON, VT","(44.2104705, -72.1952697)",44.2104705,-72.1952697
"['FRANKLIN GENERAL STORE', 'FRANKLIN GENERAL STORE', 'FRANKLIN GENERAL STORE', 'FRANKLIN GENERAL STORE', 'FRANKLIN GENERAL STORE']","FRANKLIN, VT","(44.9812585, -72.91655469999999)",44.9812585,-72.91655469999999
"[""FRASERS' GENERAL STORE, INC.""]","NORWICH, VT","(43.7153482, -72.307869)",43.7153482,-72.307869
['GIORGIO ARMANI GENERAL STORE'],"MANCHESTER, VT","(43.1635393, -73.0720817)",43.1635393,-73.0720817
"['GRAFTON VILLAGE STORE, INC.']","BELLOWFALLS, VT","(43.133411, -72.44397719999999)",43.133411,-72.44397719999999
"[""GRAM'S COUNTRY STORE""]","ALBURG, VT","(44.9748974, -73.3010678)",44.9748974,-73.3010678
['GRANBY GENERAL STORE'],"GRANBY, VT","(44.57061059999999, -71.758702)",44.57061059999999,-71.758702
"['GRAND ISLE STORE', 'GRAND ISLE COUNTRY STORE, THE', 'GRAND ISLE STORE', 'GRAND ISLE STORE', 'GRAND ISLE STORE']","GRAND ISLE, VT","(44.72254359999999, -73.2923538)",44.72254359999999,-73.2923538
"['GRANITEVILLE GENERAL STORE', 'GRANITEVILLE GENERAL STORE', 'GRANITEVILLE GENERAL STORE']","GRANITEVILLE, VT","(44.1508443, -72.4922953)",44.1508443,-72.4922953
"['GRANVILLE COUNTRY STORE', 'GRANVILLE GENERAL STORE', 'GRANVILLE COUNTRY STORE', 'GRANVILLE COUNTRY STORE', 'GRANVILLE COUNTRY STORE', 'GRANVILLE GENERAL STORE', 'GRANVILLE COUNTRY STORE']","GRANVILLE, VT","(43.9855014, -72.8467412)",43.9855014,-72.8467412
['GREENSBORO BEND STORE'],"GREENSBOR BEND, VT","(44.5489591, -72.26042199999999)",44.5489591,-72.26042199999999
"['GREENSBORO BEND STORE', 'GREENSBORO BEND STORE']","GREENSBORO BND, VT","(44.6107836, -72.3046033)",44.6107836,-72.3046033
"['GUILFORD COUNTRY STORE', 'GUILFORD COUNTRY STORE', 'GUILFORD COUNTRY STORE', 'GUILFORD COUNTRY STORE', 'GUILFORD COUNTRY STORE', 'GUILFORD COUNTRY STORE']","GUILFORD, VT","(42.8170235, -72.575487)",42.8170235,-72.575487
['HALIFAX GENERAL STORE'],"HALIFAX, VT","(42.7874603, -72.7710065)",42.7874603,-72.7710065
"[""HANSON'S COUNTRY STORE""]","MONKTON, VT","(44.2200554, -73.1253991)",44.2200554,-73.1253991
"['HARBOR VIEW GENERAL STORE THE', 'HARBOR VIEW GENERAL STORE', 'HARBOR VIEW GENERAL STORE']","HYDEVILLE, VT","(43.6039421, -73.23340929999999)",43.6039421,-73.23340929999999
"['HARTLAND GENERAL STORE', 'HARTLAND GENERAL STORE, THE', 'HARTLAND GENERAL STORE']","HARTLAND, VT","(43.540636, -72.3989314)",43.540636,-72.3989314
['HARVEST RIDGE COUNTRY STORE'],"MIDDLEBURY, VT","(44.0151433, -73.16695539999999)",44.0151433,-73.16695539999999
['HIDDEN MOUNTAIN DELI & GENERAL STORE'],"MENDON, VT","(43.6512236, -72.9274381)",43.6512236,-72.9274381
"['HISTORIC CRAFTSBURY GENERAL STORE, INC.', 'HISTORIC CRAFTSBURY GENERAL STORE, INC.', 'HISTORICA CRAFTSBURY GENERAL STORE', 'HISTORIC CRAFTSBURY GENERAL STORE']","CRAFTSBURY, VT","(44.6367179, -72.3726071)",44.6367179,-72.3726071
"['HOLDEN GENERAL STORE', 'HOLDEN GENERAL STORE']","CHITTENDEN, VT","(43.7271064, -72.9428417)",43.7271064,-72.9428417
"[""HOOGIE'S CRAFTSBURY VILLAGE STORE""]","CRAFTSBURY, VT","(44.6367179, -72.3726071)",44.6367179,-72.3726071
"[""HUB'S COUNTRY STORE AND DELI""]","CLARENDON, VT","(43.5648623, -72.9660655)",43.5648623,-72.9660655
"['HUBBARD COUNTRY STORE', 'HUBBARD COUNTRY STORE', 'HUBBARD COUNTRY STORE', ""HUBBARD'S COUNTRY STORE""]","HANCOCK, VT","(43.9261192, -72.8412292)",43.9261192,-72.8412292
"['IRASBURG GENERAL STORE', 'IRASBURG GENERAL STORE']","IRASBURG, VT","(44.80338159999999, -72.2795489)",44.80338159999999,-72.2795489
"['IRASVILLE COUNTRY STORE', 'IRASVILLE COUNTRY STORE']","WAITSFIELD, VT","(44.1926386, -72.7798479)",44.1926386,-72.7798479
"['ISLE LA MOTTE COUNTRY STORE, INC.', 'ISLE LA MOTTE COUNTRY STORE', 'ISLE LA MOTTE COUNTRY STORE', 'ISLE LA MOTTE COUNTRY STORE']","ISLLA MOTTE, VT","(44.8769853, -73.3387437)",44.8769853,-73.3387437
['ISLE LAMOTTE COUNTRY STORE'],"ISLLAMOTTE, VT","(44.8769853, -73.3387437)",44.8769853,-73.3387437
['J & M COUNTRY STORE'],"RICHFORD, VT","(44.9969955, -72.6713018)",44.9969955,-72.6713018
"['JACKSONVILLE GENERAL STORE', 'JACKSONVILLE GENERAL STORE', 'JACKSONVILLE GENERAL STORE', 'JACKSONVILLE GENERAL STORE', 'JACKSONVILLE COUNTRY STORE']","JACKSONVILLE, VT","(42.7970266, -72.8217628)",42.7970266,-72.8217628
"['JAQUES COUNTRY STORE, LLC', 'JAQUES COUNTRY STORE', 'JAQUES COUNTRY STORE']","HUNTINGTON, VT","(44.3250315, -72.9868813)",44.3250315,-72.9868813
"['JAY COUNTRY STORE  THE', 'JAY COUNTRY STORE', 'JAY COUNTRY STORE, THE', 'JAY COUNTRY STORE', 'JAY COUNTRY STORE']","JAY, VT","(44.96492540000001, -72.4602429)",44.96492540000001,-72.4602429
"['JERICHO GENERAL STORE', 'JERICHO GENERAL STORE', 'JERICHO COUNTRY STORE']","JERICHO, VT","(44.5041705, -72.9978292)",44.5041705,-72.9978292
"['JERUSALEM CORNERS COUNTRY STORE', 'JERUSALEM CORNERS COUNTRY STORE', 'JERUSALEM CORNERS COUNTRY STORE', 'JERUSALEM CORNERS COUNTRY STORE', 'JERUSALEM CORNERS COUNTRY STORE', 'JERUSALEM CORNERS COUNTRY STORE']","STARKSBORO, VT","(44.2273518, -73.0570333)",44.2273518,-73.0570333
"[""JIM AND GLORIA'S GENERAL STORE, INC.""]","PITTSFIELD, VT","(43.7722884, -72.8128828)",43.7722884,-72.8128828
"[""JIM'S COUNTRY STORE"", ""JIM'S COUNTRY STORE""]","ROYALTON, VT","(43.81765739999999, -72.5427505)",43.81765739999999,-72.5427505
"['JONESVILLE COUNTRY STORE', 'JONESVILLE COUNTRY STORE']","JONESVILLE, VT","(44.3844609, -72.9382579)",44.3844609,-72.9382579
"['JUNCTION COUNTRY STORE', 'JUNCTION COUNTRY STORE', 'JUNCTION COUNTRY STORE']","BRIDGEWATER, VT","(43.58812500000001, -72.6250967)",43.58812500000001,-72.6250967
"[""KAMUDA'S COUNTRY STORE""]","PITTSFORD, VT","(43.7067329, -73.02816469999999)",43.7067329,-73.02816469999999
"[""KEITH'S COUNTRY STORE, INC.""]","PITTSFORD, VT","(43.7067329, -73.02816469999999)",43.7067329,-73.02816469999999
"[""KEN'S GENERAL STORE""]","NO TUNBRIDGE, VT","(43.9198761, -72.4782827)",43.9198761,-72.4782827
"[""KEN'S COUNTRY STORE""]","WILDER, VT","(43.6728484, -72.3087022)",43.6728484,-72.3087022
"[""KILGORE'S GENERAL STORE"", ""KILGORE'S GENERAL STORE"", ""KILGORE'S GENERAL STORE""]","MONTGOMERY, VT","(44.9025466, -72.63817999999999)",44.9025466,-72.63817999999999
"[""KINGSBURY'S COUNTRY STORE"", ""KINGSBURY'S COUNTRY STORE""]","WARREN, VT","(44.112005, -72.85594739999999)",44.112005,-72.85594739999999
"['L & G COUNTRY STORE, INC.']","WHITRIVER JC, VT","(43.6489596, -72.3192579)",43.6489596,-72.3192579
"['LAKE PARKER COUNTRY STORE', 'LAKE PARKER COUNTRY STORE']","GLOVER, VT","(44.7069038, -72.1869766)",44.7069038,-72.1869766
"['LAKESIDE COUNTRY STORE', 'LAKESIDE COUNTRY STORE', 'LAKESIDE COUNTRY STORE']","CASTLETON, VT","(43.608439, -73.2084496)",43.608439,-73.2084496
"[""LESTER'S GENERAL STORE""]","Saint ALBANS, VT","(44.8107132, -73.0835582)",44.8107132,-73.0835582
"['LITTLE OTTER GENERAL STORE', 'LITTLE OTTER GENERAL STORE', 'LITTLE OTTER GENERAL STORE', 'LITTLE OTTER GENERAL STORE']","FERRISBURGH, VT","(44.2056098, -73.2462341)",44.2056098,-73.2462341
"['LOCUST CREEK COUNTRY STORE', 'LOCUST CREEK COUNTRY STORE']","BETHEL, VT","(43.8332779, -72.633995)",43.8332779,-72.633995
"['LINCOLN GENERAL STORE', 'LINCOLN GENERAL STORE']","BRISTOL, VT","(44.1331991, -73.0786955)",44.1331991,-73.0786955
"[""LOWELL'S CORNER STORE""]","Saint JOHNSBURY, VT","(44.4192627, -72.0151183)",44.4192627,-72.0151183
"['LOWELL GENERAL STORE  LLC', 'LOWELL GENERAL STORE', 'LOWELL GENERAL STORE']","LOWELL, VT","(44.7992084, -72.4476024)",44.7992084,-72.4476024
"[""MACH'S GENERAL STORE"", ""MACH'S GENERAL STORE"", ""MACH'S GENERAL STORE"", ""MACH'S GENERAL STORE""]","PAWLET, VT","(43.3465552, -73.177286)",43.3465552,-73.177286
"[""MAHONEY'S GENERAL STORE""]","ISLAND POND, VT","(44.8147712, -71.8803728)",44.8147712,-71.8803728
"['MANCHESTER COUNTRY STORE', 'MANCHESTER COUNTRY STORE']","MANCHESTER, VT","(43.1635393, -73.0720817)",43.1635393,-73.0720817
['MANCHESTER WOOD FACTORY STORE'],"MANCHESTER, VT","(43.1635393, -73.0720817)",43.1635393,-73.0720817
['MAPLE LEAF COUNTRY STORE'],"DOVER, VT","(42.9640101, -72.88984669999999)",42.9640101,-72.88984669999999
"['MAPLE VALLEY COUNTRY STORE, INC.', 'MAPLE VALLEY COUNTRY STORE']","PLAINFIELD, VT","(44.2781151, -72.4264926)",44.2781151,-72.4264926
"[""MARSDEN'S COUNTRY STORE""]","MIDDLEBURY, VT","(44.0151433, -73.16695539999999)",44.0151433,-73.16695539999999
"[""MARTIN'S GENERAL STORE""]","HIGHGATSPRGS, VT","(44.97400649999999, -73.105042)",44.97400649999999,-73.105042
['MCFEETERS GENERAL STORE'],"HARDWICK, VT","(44.5416243, -72.3486803)",44.5416243,-72.3486803
"[""MEME'S AND PAPA'S RIVERTON GENERAL STORE""]","BERLIN, VT","(44.2152614, -72.5861615)",44.2152614,-72.5861615
['MENDON COUNTRY STORE'],"MENDON, VT","(43.6512236, -72.9274381)",43.6512236,-72.9274381
['MIDDLEBURY COUNTRY STORE'],"MIDDLEBURY, VT","(44.0151433, -73.16695539999999)",44.0151433,-73.16695539999999
"[""MILLER'S STORE OF EAST TOPSHAM""]","TOPSHAM, VT","(44.12811929999999, -72.25509559999999)",44.12811929999999,-72.25509559999999
"['MIRANDA THOMAS CHARLES SHACKLETON WORKSHOP STORE, THE']","BRIDGEWATER, VT","(43.58812500000001, -72.6250967)",43.58812500000001,-72.6250967
['MONKTON GENERAL STORE'],"FERRISBURG, VT","(44.2056098, -73.2462341)",44.2056098,-73.2462341
"['MONKTON GENERAL STORE', 'MONKTON GENERAL STORE']","MONKTON, VT","(44.2200554, -73.1253991)",44.2200554,-73.1253991
"['MOOSE HOLLOW GENERAL STORE', 'MOOSE HOLLOW GENERAL STORE']","ARLINGTON, VT","(43.0747858, -73.1539734)",43.0747858,-73.1539734
"['MORGAN COUNTRY STORE', 'MORGAN COUNTRY STORE, THE', 'MORGAN COUNTRY STORE', 'MORGAN COUNTRY STORE  THE', 'THE MORGAN COUNTRY STORE', 'MORGAN COUNTRY STORE', 'THE MORGAN COUNTRY STORE']","MORGAN, VT","(44.892455, -71.97471689999999)",44.892455,-71.97471689999999
['MORRISTOWN CORNER STORE'],"MORRISVILLE, VT","(44.5617189, -72.5984486)",44.5617189,-72.5984486
"['MOSCOW GENERAL STORE, LLC', 'MOSCOW GENERAL STORE', 'MOSCOW GENERAL STORE']","STOWE, VT","(44.4654332, -72.6874023)",44.4654332,-72.6874023
['MOUNT HOLLY COUNTRY STORE'],"MT HOLLY, VT","(43.4474694, -72.8256382)",43.4474694,-72.8256382
"[""MOUNTAIN PAUL'S GENERAL STORE"", ""MOUNTAIN PAUL'S GENERAL STORE""]","PUTNEY, VT","(42.975268, -72.5217237)",42.975268,-72.5217237
"['MT. HOLLY COUNTRY STORE, INC.', 'MT. HOLLY COUNTRY STORE', 'MT. HOLLY COUNTRY STORE']","MT HOLLY, VT","(43.4474694, -72.8256382)",43.4474694,-72.8256382
['MT. HOR GENERAL STORE'],"WESTMORE, VT","(44.77143840000001, -72.0548206)",44.77143840000001,-72.0548206
['NAME BRAND STORE OF STOWE'],"STOWE, VT","(44.4654332, -72.6874023)",44.4654332,-72.6874023
"[""NANCY'S COUNTRY STORE"", ""NANCY'S COUNTRY STORE""]","WELLS, VT","(43.41729369999999, -73.2042744)",43.41729369999999,-73.2042744
['NEW ENGLAND GENERAL STORE THE'],"GRAFTON, VT","(43.1716817, -72.6064633)",43.1716817,-72.6064633
"['THE NEWFANE STORE LLC', 'NEWFANE COUNTRY STORE  THE', 'NEWFANE COUNTRY STORE THE', 'NEWFANE COUNTRY STORE THE', 'THE NEWFANE STORE']","NEWFANE, VT","(42.9856736, -72.65593129999999)",42.9856736,-72.65593129999999
['NICHOLS GENERAL STORE'],"DANBY, VT","(43.3548341, -73.0475498)",43.3548341,-73.0475498
